date,equity,cash,positions
2026-06-25,99678.90,21327.01,AMAT:15;DELL:4.494;HOOD:90;HPE:190;MRNA:152;MRVL:9.930628662;OKTA:78;SNOW:42;STX:8;WDC:13
2026-06-26,96750.26,19534.60,AMAT:15;ARM:26;DELL:4.494;DLTR:79;HPE:190;MRNA:152;MRVL:9.930628662;OKTA:78;SNOW:42;WDC:13
2026-06-27,97977.81,21555.90,AMAT:15;DELL:4.494;GLW:41;LRCX:23;MRNA:152;MRVL:9.930628662;MU:7;OKTA:78;TER:20;WDC:14
2026-06-30,103987.21,13178.41,ABBV:39;ALL:41;AMAT:15;GLW:41;LRCX:23;MRNA:152;MRVL:9.930628662;MU:7;PGR:44;TER:20
2026-07-01,103720.91,10754.00,ABBV:39;AMAT:15;CAT:9;GLW:41;INTC:77;LRCX:23;MRNA:152;MRVL:9.930628662;TER:20;WDC:15
2026-07-01,98995.42,5163.12,AMAT:15;DAL:102;GE:25;GLW:37;INTC:77;LRCX:23;MRNA:152;PH:9;SHW:27;TER:20
2026-07-02,96954.15,1213.68,AFRM:111;AMAT:14;DAL:102;GE:25;HOOD:85;KMB:83;MRNA:152;PANW:26;SHW:27;USB:150
2026-07-03,96996.42,1213.63,AFRM:111;AMAT:14;DAL:102;GE:25;HOOD:85;KMB:83;MRNA:152;PANW:26;SHW:27;USB:150
2026-07-06,97880.73,1067.56,AFRM:111;ALL:38;AMAT:14;HOOD:85;KMB:83;MRNA:152;PANW:26;PGR:41;TTWO:37;VRTX:18
2026-07-07,95734.30,2873.27,AFRM:112;AMAT:14;AMD:17;HOOD:85;INTC:76;MRNA:153;OKTA:63;PANW:26;TTWO:37;VRTX:18
2026-07-08,93163.74,1059.23,AFRM:112;ALL:35;HOOD:85;KMB:78;MRNA:153;OKTA:63;PANW:26;PGR:38;TTWO:37;VRTX:18
2026-07-09,94291.86,319.41,AFRM:112;ALL:35;ANET:50;HOOD:85;MRNA:153;NET:33;OKTA:63;PANW:26;PGR:38;TTWO:37
2026-07-10,91564.51,11231.49,AFRM:112;AMD:16;ANET:50;DELL:19;HOOD:85;MRNA:1;NET:33;OKTA:63;PANW:26;ROKU:63
2026-07-13,90921.97,10816.95,AFRM:112;ANET:50;HOOD:85;META:13;MRNA:1;NET:33;OKTA:63;PANW:26;ROKU:63;SCHW:86
2026-07-14,93378.39,10734.29,AFRM:112;ALL:35;GTLB:270;HOOD:85;META:13;MRNA:1;NET:33;OKTA:63;PANW:26;SNOW:33
2026-07-15,92512.59,11191.32,AFRM:112;DDOG:33;HOOD:85;MPC:29;MRNA:1;NET:33;OKTA:63;PANW:26;PSX:44;VLO:29
2026-07-16,91911.37,10910.19,DDOG:33;DLTR:71;HOOD:85;MPC:29;MRNA:1;NET:33;OKTA:63;PANW:26;PYPL:163;VLO:29
2026-07-17,92283.25,2070.14,DLTR:71;META:13;MPC:29;NET:33;OKTA:63;PANW:26;PSX:44;PYPL:163;TMO:16;VLO:29
2026-07-20,91737.73,1283.19,ABBV:35;MPC:29;NET:33;OKTA:63;PANW:26;PSX:44;PYPL:163;TRV:24;UNP:29;VLO:29
